# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.0000000;-5.3712070;7.3713514;3.0968444;1.1798792;2.7511442;-0.0223279
0.1996280;-5.3651234;7.1719179;-3.0783345;-0.0757707;2.7495236;-0.0151481
0.3992559;-5.3451163;6.9734360;-2.9584274;1.2589637;2.7484235;-0.0151481
0.5988839;-5.2934884;6.7807002;-2.8479898;-0.0926045;2.7473230;0.3248801
0.7985118;-5.2288069;6.5920138;-2.7286056;1.2386854;2.7708292;-0.0153960
0.9981398;-5.1328475;6.4171230;-2.5848177;0.2547668;2.7697197;5.2846163
1.1977677;-5.0192240;6.2531566;-2.4624168;0.9543024;3.1275008;0.1561036
1.3973957;-4.8824045;6.1079834;-2.3275779;0.4092992;3.1374491;5.2802602
1.5970236;-4.7309407;5.9780817;-2.2247472;0.6221839;3.4571320;2.0498393
1.7966516;-4.5659544;5.8658664;-2.1167908;0.4605646;3.5735378;3.6029024
1.9962796;-4.3907777;5.7702819;-2.0230801;0.4805946;3.7694366;2.6529050
2.1959075;-4.2074703;5.6913927;-1.9335268;0.4157770;3.9074084;3.1313653
2.3955355;-4.0182072;5.6280581;-1.8555652;0.3659508;4.0642412;3.4320804
2.5951634;-3.8248261;5.5786675;-1.7879889;0.3107973;4.2294604;3.9144813
2.7947914;-3.6286540;5.5418795;-1.7233500;0.3389946;4.4103531;2.8771365
2.9944193;-3.4304950;5.5179820;-1.6597504;0.2966355;4.5387144;3.3580196
3.1940473;-3.2312705;5.5056323;-1.6083182;0.2177252;4.6840834;4.6889727
3.3936753;-3.0316865;5.5022431;-1.5683117;0.1841687;4.8798297;5.0766857
3.5933032;-2.8321108;5.5062754;-1.5335117;0.1648139;5.0832701;5.1994511
3.7929312;-2.6327688;5.5168173;-1.5033305;0.1374188;5.2835165;5.2440196
3.9925591;-2.4337769;5.5326868;-1.4807491;0.0883300;5.4780701;5.2398210
4.1921871;-2.2351072;5.5522000;-1.4659440;0.0604886;5.6657993;5.2356258
4.3918150;-2.0366851;5.5741035;-1.4567094;0.0320255;5.8473615;5.2314339
4.5914430;-1.8383994;5.5972159;-1.4540759;-0.0058449;6.0233144;5.2272454
4.7910709;-1.6400886;5.6201108;-1.4588260;-0.0416845;6.1941364;-6.5016969
4.9906989;-1.4415957;5.6413602;-1.4706310;-0.0765644;5.9809267;-6.0388923
5.1903269;-1.2428057;5.6596072;-1.4888713;-0.1060540;5.7758481;-5.9804073
5.3899548;-1.0436835;5.6737637;-1.5110832;-0.1159635;5.5653129;-5.6450153
5.5895828;-0.8442865;5.6832366;-1.5362615;-0.1365852;5.3590020;-3.9990342
5.7892107;-0.6447039;5.6869723;-1.5702293;-0.2051951;5.2079040;-3.1669358
5.9888387;-0.4451379;5.6827075;-1.6154712;-0.2473105;5.0850611;-3.0807850
6.1884666;-0.2460003;5.6689809;-1.6630365;-0.2273433;4.9626429;-3.9380765
6.3880946;-0.0477102;5.6460649;-1.7088856;-0.2329091;4.8016169;-3.8470403
6.5877226;0.1492701;5.6138006;-1.7585146;-0.2651593;4.6389192;-3.3631013
6.7873505;0.3442509;5.5711109;-1.8155525;-0.3066567;4.4918630;-2.8612879
6.9869785;0.5362440;5.5165603;-1.8811935;-0.3513043;4.3628485;-2.5031930
7.1866064;0.7239480;5.4487304;-1.9552251;-0.3905163;4.2467673;-2.3897628
7.3862344;0.9058219;5.3665575;-2.0360130;-0.4188590;4.1329052;-2.3738044
7.5858623;1.0802221;5.2695369;-2.1215627;-0.4383932;4.0166093;-2.4363695
7.7854903;1.2454823;5.1576638;-2.2107843;-0.4559762;3.8936378;-2.6050919
7.9851182;1.3998563;5.0312052;-2.3043320;-0.4822109;3.7577010;-2.7054916
8.1847462;1.5412963;4.8904494;-2.4046121;-0.5238181;3.6111125;-2.6129595
8.3843742;1.6672213;4.7356814;-2.5143507;-0.5769075;3.4636532;-2.4207259
8.5840021;1.7744597;4.5674518;-2.6361009;-0.6447083;3.3212053;-2.2807978
8.7836301;1.8592157;4.3868784;-2.7717725;-0.7163687;3.1811606;-2.2594204
8.9832580;1.9174364;4.1961252;-2.9210507;-0.7804675;3.0360658;-1.6077584
9.1828860;1.9449212;3.9986416;-3.0904452;-0.9234648;2.9284447;-0.0171837
9.3825139;1.9356338;3.7995425;2.9909946;-1.1098238;2.9272731;-0.0171837
9.5821419;1.8849493;3.6068042;2.7837877;-0.9542680;2.9261010;1.3223235
9.7817699;1.7984047;3.4271899;2.6051777;-0.8399774;3.0149648;1.8563666
9.9813978;1.6832544;3.2643883;2.4515744;-0.6984060;3.1354709;2.6241315
10.1810258;1.5462464;3.1194063;2.3199154;-0.6203376;3.2983144;2.7396066
10.3806537;1.3923876;2.9923274;2.2055563;-0.5254359;3.4601564;3.1951135
10.5802817;1.2261559;2.8820514;2.1108961;-0.4288311;3.6398283;3.8021285
10.7799096;1.0510317;2.7866127;2.0301733;-0.3990663;3.8427038;3.5876266
10.9795376;0.8683339;2.7058309;1.9420161;-0.4289161;4.0247675;2.5296089
11.1791655;0.6799414;2.6402029;1.8764412;-0.2356599;4.1483388;5.2654905
11.3787935;0.4889608;2.5836639;1.8427116;-0.2236385;4.3944275;5.1525930
11.5784215;0.2948016;2.5364570;1.7697369;-0.3700497;4.6225746;1.5598549
11.7780494;0.0978119;2.5027604;1.7183097;-0.1369099;4.6894539;5.2559004
11.9776774;-0.0996728;2.4747376;1.7047735;-0.2003169;4.9080981;4.6361734
12.1773053;-0.2981636;2.4555101;1.6230417;-0.3475191;5.0931765;0.4431809
12.3769333;-0.4983404;2.4486978;1.5960785;-0.1070142;5.1105175;5.2476256
12.5765612;-0.6975205;2.4474189;1.5525803;-0.2566811;5.3115473;2.2117990
12.7761892;-0.8968514;2.4555304;1.5117902;-0.1332165;5.3940345;5.2416532
12.9758172;-1.0965813;2.4691373;1.4951907;-0.1098452;5.5846548;5.2374565
13.1754451;-1.2946067;2.4873464;1.4622426;-0.1047998;5.7688348;3.4301542
13.3750731;-1.4935372;2.5092504;1.4647884;0.0082286;5.8863371;-4.6967875
13.5747010;-1.6919112;2.5315839;1.4469239;-0.1488672;5.7248357;-4.4505928
13.7743290;-1.8891383;2.5592027;1.4195821;-0.0297718;5.5674787;-2.6899225
13.9739569;-2.0871421;2.5875892;1.4465377;0.2299274;5.4701783;-2.5839333
14.1735849;-2.2856769;2.6074038;1.4958483;0.2014204;5.3750535;-3.3478474
14.3732128;-2.4846940;2.6197384;1.5162178;0.0429401;5.2492431;-7.2992880
14.5728408;-2.6841854;2.6299632;1.5238474;0.0917248;4.9638965;-3.3114587
14.7724688;-2.8838295;2.6359691;1.5641283;0.2678301;4.8288870;-3.2581398
14.9720967;-3.0832244;2.6318929;1.6183626;0.2631397;4.6922615;-3.6776085
15.1717247;-3.2824515;2.6174887;1.6665167;0.2471331;4.5331017;-2.4339512
15.3713526;-3.4805994;2.5927120;1.7279119;0.3634479;4.4246177;-1.5342323
15.5709806;-3.6761965;2.5539069;1.8075954;0.4225642;4.3548467;-1.3800357
15.7706085;-3.8681190;2.4991274;1.8890244;0.3936506;4.2911190;-2.2605508
15.9702365;-4.0551588;2.4292411;1.9679670;0.4021867;4.1846343;-1.5795055
16.1698645;-4.2357588;2.3443211;2.0550097;0.4718064;4.1085931;-1.3308515
16.3694924;-4.4076587;2.2430294;2.1525226;0.5022839;4.0434128;-1.2635691
16.5691204;-4.5686582;2.1251827;2.2526902;0.5011994;3.9805401;-1.5971108
16.7687483;-4.7171067;1.9916900;2.3544381;0.5223490;3.8996210;-1.4283710
16.9683763;-4.8508277;1.8434453;2.4619021;0.5541515;3.8258016;-1.3254753
17.1680042;-4.9673602;1.6813523;2.5755117;0.5821573;3.7560024;-0.9556443
17.3676322;-5.0642355;1.5068079;2.6957343;0.6252278;3.7048627;-0.0853043
17.5672601;-5.1385047;1.3216453;2.8267193;0.6903438;3.7002634;-0.0274352
17.7668881;-5.1867503;1.1282462;2.9674649;0.6951248;3.6987830;-0.0274352
17.9665161;-5.2078069;0.9300404;3.1033854;0.6733468;3.6973020;0.2779074
18.1661440;-5.2021539;0.7307098;-3.0474598;0.6511707;3.7122767;0.5085815
18.3657720;-5.1707230;0.5337078;-2.9205274;0.6162681;3.7395257;0.8640317
18.5653999;-5.1153332;0.3420344;-2.8013014;0.5782938;3.7853695;1.1948804
18.7650279;-5.0382250;0.1580000;-2.6897002;0.5386540;3.8478676;1.5049516
18.9646558;-4.9417962;-0.0167003;-2.5861217;0.4987852;3.9251683;1.7943464
19.1642838;-4.8284667;-0.1809542;-2.4904559;0.4597122;4.0153891;2.0655667
19.3639118;-4.7005581;-0.3341371;-2.4026232;0.4198416;4.1167996;2.3605216
19.5635397;-4.5602655;-0.4760499;-2.3224085;0.3844565;4.2297153;2.5960068
19.7631677;-4.4094794;-0.6067644;-2.2485038;0.3570247;4.3505129;2.7146515
19.9627956;-4.2497513;-0.7264157;-2.1797622;0.3319742;4.4733436;2.8268008
20.1624236;-4.0824513;-0.8352450;-2.1161969;0.3048528;4.5977625;3.0231964
20.3620515;-3.9088215;-0.9337149;-2.0581141;0.2770352;4.7272031;3.2744335
20.5616795;-3.7300173;-1.0224330;-2.0055632;0.2495425;4.8635158;3.5599416
20.7613074;-3.5470256;-1.1021290;-1.9584022;0.2233570;5.0075058;3.8590136
20.9609354;-3.3606727;-1.1735747;-1.9161802;0.2004644;5.1590549;4.1210969
21.1605634;-3.1716160;-1.2374927;-1.8780801;0.1824545;5.3161283;4.2969405
21.3601913;-2.9803489;-1.2944726;-1.8430176;0.1698525;5.4751072;4.3582523
21.5598193;-2.7872421;-1.3449314;-1.8100393;0.1612048;5.6317721;4.3334883
21.7594472;-2.5925929;-1.3891505;-1.7785352;0.1547137;5.7833405;4.2682137
21.9590752;-2.3966531;-1.4273382;-1.7482036;0.1492532;5.9288395;4.1930899
22.1587031;-2.1996516;-1.4596715;-1.7189158;0.1440530;6.0683814;4.1313649
22.3583311;-2.0017944;-1.4863267;-1.6906858;0.1385389;6.2027998;4.1026002
22.5579590;-1.8032732;-1.5074995;-1.6636096;0.1324939;6.3334598;4.1148701
22.7575870;-1.6042616;-1.5234136;-1.6377915;0.1259707;6.4618572;4.1662819
22.9572150;-1.4049137;-1.5343177;-1.6133260;0.1188830;6.5893104;4.2611486
23.1568429;-1.2053665;-1.5404879;-1.5903514;0.1110045;6.7171646;4.4109615
23.3564709;-1.0057358;-1.5422329;-1.5689631;0.1037865;6.8469995;4.5503275
23.5560988;-0.8061109;-1.5398346;-1.5487122;0.1004721;6.9784058;4.5195394
23.7557268;-0.6065753;-1.5334293;-1.5287535;0.0988955;7.1065182;4.4142434
23.9553547;-0.4072158;-1.5230987;-1.5095951;0.0898068;7.2294546;4.7114386
24.1549827;-0.2080799;-1.5092133;-1.4934020;0.0706734;7.3584022;5.1914183
24.3546107;-0.0091556;-1.4925265;-1.4815833;0.0475099;7.4979189;5.1872618
24.5542386;0.1896047;-1.4739387;-1.4739793;0.0335982;7.6347778;5.1831086
24.7538666;0.3882344;-1.4539975;-1.4675530;0.0319161;7.7691196;5.1789588
24.9534945;0.5867326;-1.4327874;-1.4611224;0.0324812;7.9010727;5.1748123
25.1531225;0.7850896;-1.4102914;-1.4546123;0.0324799;8.0307549;5.1706691
25.3527504;0.9832966;-1.3865108;-1.4481839;0.0318970;8.1582746;5.1665292
25.5523784;1.1813473;-1.3614672;-1.4418307;0.0322727;8.2837317;5.1623926
25.7520063;1.3792314;-1.3351449;-1.4351996;0.0346359;8.4072187;5.1582594
25.9516343;1.5769287;-1.3074532;-1.4279467;0.0380859;8.5288213;5.1541294
26.1512623;1.7744104;-1.2782597;-1.4200105;0.0411760;8.6486189;5.1500028
26.3508902;1.9716460;-1.2474453;-1.4115525;0.0433522;8.7666857;5.1458795
26.5505182;2.1686075;-1.2149261;-1.4027282;0.0450083;8.8830907;5.1417594
26.7501461;2.3652686;-1.1806386;-1.3935850;0.0466178;8.9978986;5.1376427
26.9497741;2.5616021;-1.1445223;-1.3841111;0.0483145;9.1111697;5.1335293
27.1494020;2.7575780;-1.1065140;-1.3742929;0.0500501;9.2229608;5.0820092
27.3490300;2.9531644;-1.0665496;-1.3641289;0.0517699;9.3323109;4.8266041
27.5486580;3.1483274;-1.0245661;-1.3536258;0.0534387;9.4349922;4.5744218
27.7482859;3.3430313;-0.9805031;-1.3427965;0.0550343;9.5312876;4.3282107
27.9479139;3.5372394;-0.9343038;-1.3316565;0.0565537;9.6215127;4.0889874
28.1475418;3.7309135;-0.8859151;-1.3202201;0.0580073;9.7059806;-2.4116773
28.3471698;3.9240141;-0.8352871;-1.3084992;0.0594055;9.6562509;-4.1288102
28.5467977;4.1165007;-0.7823727;-1.2965042;0.0607553;9.5705136;-4.1072642
28.7464257;4.3083312;-0.7271279;-1.2842440;0.0620659;9.4844547;-4.0920072
28.9460536;4.4994622;-0.6695106;-1.2717251;0.0633496;9.3979318;-4.0818093
29.1456816;4.6898491;-0.6094810;-1.2589517;0.0646204;9.3108236;-4.0754121
29.3453096;4.8794455;-0.5470005;-1.2459248;0.0658933;9.2230312;-4.0712764
29.5449375;5.0682033;-0.4820316;-1.2326423;0.0671875;9.1344853;-4.0677248
29.7445655;5.2560723;-0.4145370;-1.2190976;0.0685248;9.0451512;-4.0635174
29.9441934;5.4430001;-0.3444788;-1.2052804;0.0699231;8.9550196;-4.0576368
30.1438214;5.6289314;-0.2718184;-1.1911768;0.0713983;8.8641040;-4.0482535
30.3434493;5.8138078;-0.1965154;-1.1767693;0.0729776;8.7724598;-4.0330406
30.5430773;5.9975670;-0.1185271;-1.1620335;0.0746963;8.6801979;-4.0106824
30.7427053;6.1801426;-0.0378074;-1.1469387;0.0765779;8.5874645;-3.9807213
30.9423332;6.3614625;0.0456939;-1.1314511;0.0786357;8.4944229;-3.9412464
31.1419612;6.5414490;0.1320313;-1.1155330;0.0809034;8.4012889;-3.8883880
31.3415891;6.7200173;0.2212644;-1.0991369;0.0834435;8.3083809;-3.8200734
31.5412171;6.8970742;0.3134599;-1.0822028;0.0862956;8.2160822;-3.7386537
31.7408450;7.0725167;0.4086922;-1.0646693;0.0894350;8.1247355;-3.6482505
